Species	Light	Water	Survival
Dieffenbachia seguine	0.0156	1	0
Dieffenbachia seguine	0.0156	1	0
Dieffenbachia Camilla	0.5	0	1
Dieffenbachia Camilla	0.5	0	1
Dieffenbachia Camilla	0.5	0	1
Dieffenbachia Camilla	0.5	0	1
Dieffenbachia Camilla	0.5	0	1
Dieffenbachia Camilla	0.5	0	1
Dieffenbachia Camilla	0.5	0	0
Dieffenbachia Camilla	0.5	0	0
Dieffenbachia Camilla	0.5	0	0
Dieffenbachia Camilla	0.5	0	0
Dieffenbachia Camilla	0.5	1	1
Dieffenbachia Camilla	0.5	1	1
Dieffenbachia Camilla	0.5	1	1
Dieffenbachia Camilla	0.5	1	1
Dieffenbachia Camilla	0.5	1	1
Dieffenbachia Camilla	0.5	1	1
Dieffenbachia Camilla	0.5	1	0
Dieffenbachia Camilla	0.5	1	0
Dieffenbachia Camilla	0.5	1	0
Dieffenbachia Camilla	0.5	1	0
Dieffenbachia Camilla	0.125	0	1
Dieffenbachia Camilla	0.125	0	1
Dieffenbachia Camilla	0.125	0	1
Dieffenbachia Camilla	0.125	0	1
Dieffenbachia Camilla	0.125	0	1
Dieffenbachia Camilla	0.125	0	1
Dieffenbachia Camilla	0.125	0	0
Dieffenbachia Camilla	0.125	0	0
Dieffenbachia Camilla	0.125	0	0
Dieffenbachia Camilla	0.125	0	0
Dieffenbachia Camilla	0.125	1	1
Dieffenbachia Camilla	0.125	1	1
Dieffenbachia Camilla	0.125	1	1
Dieffenbachia Camilla	0.125	1	1
Dieffenbachia Camilla	0.125	1	1
Dieffenbachia Camilla	0.125	1	1
Dieffenbachia Camilla	0.125	1	1
Dieffenbachia Camilla	0.125	1	1
Dieffenbachia Camilla	0.125	1	1
Dieffenbachia Camilla	0.125	1	1
Dieffenbachia Camilla	0.0625	0	1
Dieffenbachia Camilla	0.0625	0	1
Dieffenbachia Camilla	0.0625	0	1
Dieffenbachia Camilla	0.0625	0	1
Dieffenbachia Camilla	0.0625	0	1
Dieffenbachia Camilla	0.0625	0	1
Dieffenbachia Camilla	0.0625	0	1
Dieffenbachia Camilla	0.0625	0	1
Dieffenbachia Camilla	0.0625	0	0
Dieffenbachia Camilla	0.0625	0	0
Dieffenbachia Camilla	0.0625	1	1
Dieffenbachia Camilla	0.0625	1	1
Dieffenbachia Camilla	0.0625	1	1
Dieffenbachia Camilla	0.0625	1	1
Dieffenbachia Camilla	0.0625	1	1
Dieffenbachia Camilla	0.0625	1	1
Dieffenbachia Camilla	0.0625	1	1
Dieffenbachia Camilla	0.0625	1	1
Dieffenbachia Camilla	0.0625	1	1
Dieffenbachia Camilla	0.0625	1	1
Dieffenbachia Camilla	0.0156	0	1
Dieffenbachia Camilla	0.0156	0	1
Dieffenbachia Camilla	0.0156	0	1
Dieffenbachia Camilla	0.0156	0	1
Dieffenbachia Camilla	0.0156	0	1
Dieffenbachia Camilla	0.0156	0	0
Dieffenbachia Camilla	0.0156	0	0
Dieffenbachia Camilla	0.0156	0	0
Dieffenbachia Camilla	0.0156	0	0
Dieffenbachia Camilla	0.0156	0	0
Dieffenbachia Camilla	0.0156	1	1
Dieffenbachia Camilla	0.0156	1	1
Dieffenbachia Camilla	0.0156	1	1
Dieffenbachia Camilla	0.0156	1	1
Dieffenbachia Camilla	0.0156	1	1
Dieffenbachia Camilla	0.0156	1	0
Dieffenbachia Camilla	0.0156	1	0
Dieffenbachia Camilla	0.0156	1	0
Dieffenbachia Camilla	0.0156	1	0
Dieffenbachia Camilla	0.0156	1	0
Epipremnum aureum	0.5	0	1
Epipremnum aureum	0.5	0	1
Epipremnum aureum	0.5	0	0
Epipremnum aureum	0.5	0	0
Epipremnum aureum	0.5	0	0
Epipremnum aureum	0.5	0	0
Epipremnum aureum	0.5	0	0
Epipremnum aureum	0.5	0	0
Epipremnum aureum	0.5	0	0
Epipremnum aureum	0.5	0	0
Epipremnum aureum	0.5	1	1
Epipremnum aureum	0.5	1	1
Epipremnum aureum	0.5	1	1
Epipremnum aureum	0.5	1	1
Epipremnum aureum	0.5	1	1
Epipremnum aureum	0.5	1	1
Epipremnum aureum	0.5	1	1
Epipremnum aureum	0.5	1	1
Epipremnum aureum	0.5	1	0
Epipremnum aureum	0.5	1	0
Epipremnum aureum	0.125	0	1
Epipremnum aureum	0.125	0	1
Epipremnum aureum	0.125	0	1
Epipremnum aureum	0.125	0	1
Epipremnum aureum	0.125	0	1
Epipremnum aureum	0.125	0	1
Epipremnum aureum	0.125	0	1
Epipremnum aureum	0.125	0	0
Epipremnum aureum	0.125	0	0
Epipremnum aureum	0.125	0	0
Epipremnum aureum	0.125	1	1
Epipremnum aureum	0.125	1	1
Epipremnum aureum	0.125	1	1
Epipremnum aureum	0.125	1	1
Epipremnum aureum	0.125	1	1
Epipremnum aureum	0.125	1	1
Epipremnum aureum	0.125	1	0
Epipremnum aureum	0.125	1	0
Epipremnum aureum	0.125	1	0
Epipremnum aureum	0.125	1	0
Epipremnum aureum	0.0625	0	1
Epipremnum aureum	0.0625	0	1
Epipremnum aureum	0.0625	0	1
Epipremnum aureum	0.0625	0	1
Epipremnum aureum	0.0625	0	1
Epipremnum aureum	0.0625	0	1
Epipremnum aureum	0.0625	0	1
Epipremnum aureum	0.0625	0	1
Epipremnum aureum	0.0625	0	0
Epipremnum aureum	0.0625	0	0
Epipremnum aureum	0.0625	1	1
Epipremnum aureum	0.0625	1	1
Epipremnum aureum	0.0625	1	1
Epipremnum aureum	0.0625	1	1
Epipremnum aureum	0.0625	1	1
Epipremnum aureum	0.0625	1	1
Epipremnum aureum	0.0625	1	1
Epipremnum aureum	0.0625	1	1
Epipremnum aureum	0.0625	1	0
Epipremnum aureum	0.0625	1	0
Epipremnum aureum	0.0156	0	1
Epipremnum aureum	0.0156	0	1
Epipremnum aureum	0.0156	0	1
Epipremnum aureum	0.0156	0	1
Epipremnum aureum	0.0156	0	1
Epipremnum aureum	0.0156	0	0
Epipremnum aureum	0.0156	0	0
Epipremnum aureum	0.0156	0	0
Epipremnum aureum	0.0156	0	0
Epipremnum aureum	0.0156	0	0
Epipremnum aureum	0.0156	1	1
Epipremnum aureum	0.0156	1	1
Epipremnum aureum	0.0156	1	1
Epipremnum aureum	0.0156	1	1
Epipremnum aureum	0.0156	1	1
Epipremnum aureum	0.0156	1	1
Epipremnum aureum	0.0156	1	1
Epipremnum aureum	0.0156	1	0
Epipremnum aureum	0.0156	1	0
Epipremnum aureum	0.0156	1	0
Syngonium podophyllum	0.5	0	1
Syngonium podophyllum	0.5	0	1
Syngonium podophyllum	0.5	0	0
Syngonium podophyllum	0.5	0	0
Syngonium podophyllum	0.5	0	0
Syngonium podophyllum	0.5	0	0
Syngonium podophyllum	0.5	0	0
Syngonium podophyllum	0.5	0	0
Syngonium podophyllum	0.5	0	0
Syngonium podophyllum	0.5	0	0
Syngonium podophyllum	0.5	1	1
Syngonium podophyllum	0.5	1	1
Syngonium podophyllum	0.5	1	1
Syngonium podophyllum	0.5	1	1
Syngonium podophyllum	0.5	1	1
Syngonium podophyllum	0.5	1	0
Syngonium podophyllum	0.5	1	0
Syngonium podophyllum	0.5	1	0
Syngonium podophyllum	0.5	1	0
Syngonium podophyllum	0.5	1	0
Syngonium podophyllum	0.125	0	1
Syngonium podophyllum	0.125	0	1
Syngonium podophyllum	0.125	0	1
Syngonium podophyllum	0.125	0	1
Syngonium podophyllum	0.125	0	1
Syngonium podophyllum	0.125	0	1
Syngonium podophyllum	0.125	0	1
Syngonium podophyllum	0.125	0	0
Syngonium podophyllum	0.125	0	0
Syngonium podophyllum	0.125	0	0
Syngonium podophyllum	0.125	1	1
Syngonium podophyllum	0.125	1	1
Syngonium podophyllum	0.125	1	1
Syngonium podophyllum	0.125	1	1
Syngonium podophyllum	0.125	1	1
Syngonium podophyllum	0.125	1	1
Syngonium podophyllum	0.125	1	0
Syngonium podophyllum	0.125	1	0
Syngonium podophyllum	0.125	1	0
Syngonium podophyllum	0.125	1	0
Syngonium podophyllum	0.0625	0	1
Syngonium podophyllum	0.0625	0	1
Syngonium podophyllum	0.0625	0	1
Syngonium podophyllum	0.0625	0	1
Syngonium podophyllum	0.0625	0	1
Syngonium podophyllum	0.0625	0	1
Syngonium podophyllum	0.0625	0	1
Syngonium podophyllum	0.0625	0	1
Syngonium podophyllum	0.0625	0	0
Syngonium podophyllum	0.0625	0	0
Syngonium podophyllum	0.0625	1	1
Syngonium podophyllum	0.0625	1	1
Syngonium podophyllum	0.0625	1	1
Syngonium podophyllum	0.0625	1	1
Syngonium podophyllum	0.0625	1	1
Syngonium podophyllum	0.0625	1	1
Syngonium podophyllum	0.0625	1	0
Syngonium podophyllum	0.0625	1	0
Syngonium podophyllum	0.0625	1	0
Syngonium podophyllum	0.0625	1	0
Syngonium podophyllum	0.0156	0	1
Syngonium podophyllum	0.0156	0	1
Syngonium podophyllum	0.0156	0	1
Syngonium podophyllum	0.0156	0	1
Syngonium podophyllum	0.0156	0	1
Syngonium podophyllum	0.0156	0	1
Syngonium podophyllum	0.0156	0	0
Syngonium podophyllum	0.0156	0	0
Syngonium podophyllum	0.0156	0	0
Syngonium podophyllum	0.0156	0	0
Syngonium podophyllum	0.0156	1	1
Syngonium podophyllum	0.0156	1	1
Syngonium podophyllum	0.0156	1	1
Syngonium podophyllum	0.0156	1	1
Syngonium podophyllum	0.0156	1	1
Syngonium podophyllum	0.0156	1	0
Syngonium podophyllum	0.0156	1	0
Syngonium podophyllum	0.0156	1	0
Syngonium podophyllum	0.0156	1	0
Syngonium podophyllum	0.0156	1	0
